,DAYS,STATION_LINE,TOTAL_TRAFFIC
528,Monday,174-175 STS BD,30237.0
859,Monday,NECK RD BQ,29497.0
519,Monday,163 ST-AMSTERDM C,29198.0
662,Monday,AVENUE M BQ,28760.0
759,Monday,EASTCHSTER/DYRE 5,28450.0
557,Monday,238 ST 1,28260.0
492,Monday,116 ST BC,27785.0
484,Monday,104 ST A,27670.0
515,Monday,155 ST C,27388.0
731,Monday,CITY / BUS 1,27375.0
783,Monday,FULTON ST ACJZ2345,27318.0
902,Monday,RIT-MANHATTAN R,27293.0
524,Monday,169 ST F,26125.0
732,Monday,CITY HALL NRW,25702.0
838,Monday,LIVONIA AV L,25410.0
509,Monday,145 ST 3,25102.0
666,Monday,AVENUE U F,24558.0
767,Monday,FLUSHING AV G,24222.0
720,Monday,CATHEDRAL PKWY BC,24213.0
512,Monday,14TH STREET 1,24188.0
879,Monday,OZONE PK LEFFRT A,24148.0
949,Monday,WHITLOCK AV 6,23960.0
729,Monday,CHURCH AV BQ,23860.0
846,Monday,METS-WILLETS PT 7,23401.0
942,Monday,W 8 ST-AQUARIUM FQ,22685.0
679,Monday,BEACH 36 ST A,21942.0
888,Monday,PELHAM BAY PARK 6,21850.0
559,Monday,25 ST R,21677.0
648,Monday,9TH STREET 1,21395.0
659,Monday,AVENUE H BQ,21266.0
547,Monday,215 ST 1,20950.0
747,Monday,CYPRESS HILLS J,20537.0
658,Monday,ATLANTIC AV L,20480.0
800,Monday,HARRISON 1,20351.0
764,Monday,EXCHANGE PLACE 1,20152.0
914,Monday,SMITH-9 ST FG,19765.0
651,Monday,AQUEDUCT N.COND A,19477.0
858,Monday,NASSAU ST G,19232.0
649,Monday,ALABAMA AV J,18568.0
642,Monday,9 AV D,18076.0
900,Monday,RECTOR ST 1,17875.0
833,Monday,LACKAWANNA 1,17315.0
754,Monday,E 143/ST MARY'S 6,15890.0
576,Monday,36 ST MR,14725.0
933,Monday,TWENTY THIRD ST 1,14337.0
919,Monday,ST. GEORGE 1,14327.0
683,Monday,BEACH 90 ST AS,14069.0
907,Monday,ROCKAWAY PARK B AS,12952.0
680,Monday,BEACH 44 ST A,12942.0
595,Monday,51 ST 6,12332.0
860,Monday,NEPTUNE AV F,11902.0
638,Monday,86 ST N,10863.0
804,Monday,HOWARD BCH JFK A,10419.0
672,Monday,BAY PKWY F,9612.0
867,Monday,NEWARK C 1,9313.0
762,Monday,ELMHURST AV MR,9007.0
820,Monday,JOURNAL SQUARE 1,8740.0
834,Monday,LAFAYETTE AV C,8502.0
913,Monday,SIMPSON ST 25,8350.0
737,Monday,CLINTON-WASH AV G,8288.0
684,Monday,BEACH 98 ST AS,7574.0
570,Monday,34 ST-HUDSON YD 7,5305.0
677,Monday,BEACH 105 ST AS,4880.0
494,Monday,121 ST JZ,4017.0
931,Monday,TOMPKINSVILLE 1,3958.0
701,Monday,BROAD CHANNEL AS,3909.0
925,Monday,SUTTER AV-RUTLD 3,3179.0
622,Monday,75 AV EF,2143.0
616,Monday,7 AV FG,1534.0
822,Monday,JUNIUS ST 3,1034.0
543,Monday,20 AV N,990.0
927,Monday,THIRTY THIRD ST 1,622.0
511,Monday,149/GRAND CONC 245,33.0
810,Monday,INWOOD-207 ST A,30.0
878,Monday,ORCHARD BEACH 6,23.0
922,Monday,SUTPHIN BLVD F,16.0
523,Monday,168 ST AC1,12.0
652,Monday,AQUEDUCT RACETR A,10.0
521,Monday,167 ST BD,9.0
488,Monday,111 ST A,8.0
884,Monday,PARSONS BLVD F,7.0
824,Monday,KINGS HWY BQ,6.0
889,Monday,PELHAM PKWY 25,5.0
730,Monday,CHURCH AV FG,5.0
751,Monday,DITMAS AV F,3.0
500,Monday,135 ST BC,3.0
631,Monday,80 ST A,2.0
663,Monday,AVENUE N F,1.0
513,Monday,15 ST-PROSPECT FG,0.0
